"batch_id","run_id","line","mase_run_id","type","timestamp","agent","cell","graph","transaction_id","archive_id"
"react-baseline-vs-ccrs-v1","001-baseline","4936","run-2026-06-07T19-31-56-015Z","AGENT_MOVED","1780862376160","http://127.0.1.1:8080/agents/react_baseline_v1_01","http://127.0.1.1:8080/cells/0",,"-1","6454567"
"react-baseline-vs-ccrs-v1","001-baseline","4937","run-2026-06-07T19-31-56-015Z","TRANSACTION","1780862376161","react_baseline_v1_01",,"http://127.0.1.1:8080/cells/0","10075","6454568"
"react-baseline-vs-ccrs-v1","001-baseline","4938","run-2026-06-07T19-31-56-015Z","AGENT_MOVED","1780862380237","http://127.0.1.1:8080/agents/react_baseline_v1_01","http://127.0.1.1:8080/cells/0/2",,"-1","6454569"
"react-baseline-vs-ccrs-v1","001-baseline","4939","run-2026-06-07T19-31-56-015Z","TRANSACTION","1780862380239","react_baseline_v1_01",,"http://127.0.1.1:8080/cells/0/2","10076","6454570"
"react-baseline-vs-ccrs-v1","001-baseline","4940","run-2026-06-07T19-31-56-015Z","AGENT_MOVED","1780862384435","http://127.0.1.1:8080/agents/react_baseline_v1_01","http://127.0.1.1:8080/cells/1/2",,"-1","6454571"
"react-baseline-vs-ccrs-v1","001-baseline","4941","run-2026-06-07T19-31-56-015Z","TRANSACTION","1780862384435","react_baseline_v1_01",,"http://127.0.1.1:8080/cells/1/2","10077","6454572"
"react-baseline-vs-ccrs-v1","001-baseline","4942","run-2026-06-07T19-31-56-015Z","AGENT_MOVED","1780862388738","http://127.0.1.1:8080/agents/react_baseline_v1_01","http://127.0.1.1:8080/cells/2/2",,"-1","6454573"
"react-baseline-vs-ccrs-v1","001-baseline","4943","run-2026-06-07T19-31-56-015Z","TRANSACTION","1780862388738","react_baseline_v1_01",,"http://127.0.1.1:8080/cells/2/2","10078","6454574"
"react-baseline-vs-ccrs-v1","001-baseline","4944","run-2026-06-07T19-31-56-015Z","AGENT_MOVED","1780862392748","http://127.0.1.1:8080/agents/react_baseline_v1_01","http://127.0.1.1:8080/cells/2/3",,"-1","6454575"
"react-baseline-vs-ccrs-v1","001-baseline","4945","run-2026-06-07T19-31-56-015Z","TRANSACTION","1780862392748","react_baseline_v1_01",,"http://127.0.1.1:8080/cells/2/3","10079","6454576"
"react-baseline-vs-ccrs-v1","001-baseline","4946","run-2026-06-07T19-31-56-015Z","AGENT_MOVED","1780862396855","http://127.0.1.1:8080/agents/react_baseline_v1_01","http://127.0.1.1:8080/cells/2/4",,"-1","6454577"
