"batch_id","run_id","opportunistic_count","selection_count","selected_rank_1_count","selected_none_count","rank_unavailable_count"
"react-baseline-vs-ccrs-v1","002-ccrs","0","164","0","0","0"
"react-baseline-vs-ccrs-v1","002-ccrs","1","21","19","2","0"
