"batch_id","run_id","agent","move_count","first_cell","final_cell"
"react-baseline-vs-ccrs-v1","001-baseline","http://127.0.1.1:8080/agents/react_baseline_v1_01","65","http://127.0.1.1:8080/cells/0","http://127.0.1.1:8080/cells/12/11"
"react-baseline-vs-ccrs-v1","002-ccrs","http://127.0.1.1:8080/agents/react_ccrs_mazeV1_04","37","http://127.0.1.1:8080/cells/0","http://127.0.1.1:8080/cells/12/5"
