"batch_id","run_id","agent_name","graph_name","sequence","cycle","cycle_timestamp","duration_ms","file","line","event_count","opportunistic_detected_count","opportunistic_prompt_visible_count","selection_count","contingency_event_count","contingency_guidance_event_count"
"react-baseline-vs-ccrs-v1","002-ccrs","react_ccrs_mazeV1_04","graph_ccrs","64","63","2026-06-07T19:18:18.438+00:00","1979","react_ccrs_mazeV1_04_20260607_211522.log","1819","5","0","0","1","2","0"
"react-baseline-vs-ccrs-v1","002-ccrs","react_ccrs_mazeV1_04","graph_ccrs","65","64","2026-06-07T19:18:24.284+00:00","5846","react_ccrs_mazeV1_04_20260607_211522.log","1835","5","0","0","1","2","0"
"react-baseline-vs-ccrs-v1","002-ccrs","react_ccrs_mazeV1_04","graph_ccrs","66","65","2026-06-07T19:18:27.960+00:00","3676","react_ccrs_mazeV1_04_20260607_211522.log","1851","5","0","0","1","2","0"
"react-baseline-vs-ccrs-v1","002-ccrs","react_ccrs_mazeV1_04","graph_ccrs","67","66","2026-06-07T19:18:30.517+00:00","2557","react_ccrs_mazeV1_04_20260607_211522.log","1867","5","0","0","1","2","0"
"react-baseline-vs-ccrs-v1","002-ccrs","react_ccrs_mazeV1_04","graph_ccrs","68","67","2026-06-07T19:18:32.937+00:00","2420","react_ccrs_mazeV1_04_20260607_211522.log","1883","5","0","0","1","2","0"
"react-baseline-vs-ccrs-v1","002-ccrs","react_ccrs_mazeV1_04","graph_ccrs","69","68","2026-06-07T19:18:36.381+00:00","3444","react_ccrs_mazeV1_04_20260607_211522.log","1899","5","0","0","1","2","0"
"react-baseline-vs-ccrs-v1","002-ccrs","react_ccrs_mazeV1_04","graph_ccrs","70","69","2026-06-07T19:18:38.753+00:00","2372","react_ccrs_mazeV1_04_20260607_211522.log","1915","5","0","0","1","2","0"
"react-baseline-vs-ccrs-v1","002-ccrs","react_ccrs_mazeV1_04","graph_ccrs","71","70","2026-06-07T19:18:41.001+00:00","2248","react_ccrs_mazeV1_04_20260607_211522.log","1931","5","0","0","1","2","0"
"react-baseline-vs-ccrs-v1","002-ccrs","react_ccrs_mazeV1_04","graph_ccrs","72","71","2026-06-07T19:18:43.722+00:00","2721","react_ccrs_mazeV1_04_20260607_211522.log","1947","5","0","0","1","2","0"
"react-baseline-vs-ccrs-v1","002-ccrs","react_ccrs_mazeV1_04","graph_ccrs","73","72","2026-06-07T19:18:45.898+00:00","2176","react_ccrs_mazeV1_04_20260607_211522.log","1963","5","0","0","1","2","0"
"react-baseline-vs-ccrs-v1","002-ccrs","react_ccrs_mazeV1_04","graph_ccrs","74","73","2026-06-07T19:18:53.732+00:00","7834","react_ccrs_mazeV1_04_20260607_211522.log","1979","5","0","0","1","2","0"
"react-baseline-vs-ccrs-v1","002-ccrs","react_ccrs_mazeV1_04","graph_ccrs","75","74","2026-06-07T19:19:10.102+00:00","16370","react_ccrs_mazeV1_04_20260607_211522.log","2189","5","0","0","1","2","0"
"react-baseline-vs-ccrs-v1","002-ccrs","react_ccrs_mazeV1_04","graph_ccrs","76","75","2026-06-07T19:19:12.178+00:00","2076","react_ccrs_mazeV1_04_20260607_211522.log","2199","5","0","0","1","2","0"
"react-baseline-vs-ccrs-v1","002-ccrs","react_ccrs_mazeV1_04","graph_ccrs","77","76","2026-06-07T19:19:13.962+00:00","1784","react_ccrs_mazeV1_04_20260607_211522.log","2215","5","0","0","1","2","0"
"react-baseline-vs-ccrs-v1","002-ccrs","react_ccrs_mazeV1_04","graph_ccrs","78","77","2026-06-07T19:19:16.000+00:00","2038","react_ccrs_mazeV1_04_20260607_211522.log","2231","5","0","0","1","2","0"
"react-baseline-vs-ccrs-v1","002-ccrs","react_ccrs_mazeV1_04","graph_ccrs","79","78","2026-06-07T19:19:18.170+00:00","2170","react_ccrs_mazeV1_04_20260607_211522.log","2247","5","0","0","1","2","0"
"react-baseline-vs-ccrs-v1","002-ccrs","react_ccrs_mazeV1_04","graph_ccrs","80","79","2026-06-07T19:19:20.782+00:00","2612","react_ccrs_mazeV1_04_20260607_211522.log","2263","5","0","0","1","2","0"
"react-baseline-vs-ccrs-v1","002-ccrs","react_ccrs_mazeV1_04","graph_ccrs","81","80","2026-06-07T19:19:23.258+00:00","2476","react_ccrs_mazeV1_04_20260607_211522.log","2279","5","0","0","1","2","0"
"react-baseline-vs-ccrs-v1","002-ccrs","react_ccrs_mazeV1_04","graph_ccrs","82","81","2026-06-07T19:19:26.393+00:00","3135","react_ccrs_mazeV1_04_20260607_211522.log","2295","5","0","0","1","2","0"
"react-baseline-vs-ccrs-v1","002-ccrs","react_ccrs_mazeV1_04","graph_ccrs","83","82","2026-06-07T19:19:28.447+00:00","2054","react_ccrs_mazeV1_04_20260607_211522.log","2311","5","0","0","1","2","0"
"react-baseline-vs-ccrs-v1","002-ccrs","react_ccrs_mazeV1_04","graph_ccrs","84","83","2026-06-07T19:19:30.404+00:00","1957","react_ccrs_mazeV1_04_20260607_211522.log","2327","5","0","0","1","2","0"
"react-baseline-vs-ccrs-v1","002-ccrs","react_ccrs_mazeV1_04","graph_ccrs","85","84","2026-06-07T19:19:32.499+00:00","2095","react_ccrs_mazeV1_04_20260607_211522.log","2343","5","0","0","1","2","0"
"react-baseline-vs-ccrs-v1","002-ccrs","react_ccrs_mazeV1_04","graph_ccrs","86","85","2026-06-07T19:19:34.559+00:00","2060","react_ccrs_mazeV1_04_20260607_211522.log","2359","5","0","0","1","2","0"
"react-baseline-vs-ccrs-v1","002-ccrs","react_ccrs_mazeV1_04","graph_ccrs","87","86","2026-06-07T19:19:36.698+00:00","2139","react_ccrs_mazeV1_04_20260607_211522.log","2375","5","0","0","1","2","0"
"react-baseline-vs-ccrs-v1","002-ccrs","react_ccrs_mazeV1_04","graph_ccrs","88","87","2026-06-07T19:19:38.886+00:00","2188","react_ccrs_mazeV1_04_20260607_211522.log","2391","5","0","0","1","2","0"
"react-baseline-vs-ccrs-v1","002-ccrs","react_ccrs_mazeV1_04","graph_ccrs","89","88","2026-06-07T19:19:40.915+00:00","2029","react_ccrs_mazeV1_04_20260607_211522.log","2407","5","0","0","1","2","0"
