"batch_id","run_id","move_sequence","move_cell","move_timestamp","move_line","start_action_line","start_action_timestamp","end_before_action_line","action_count","get_count","post_count","http_error_count","status_codes","action_lines","action_targets","match_quality"
"react-baseline-vs-ccrs-v1","001-baseline","1","http://127.0.1.1:8080/cells/0","1780862376160","4936","10","2026-06-07 21:59:36,059","18","2","1","1","0","201;200","10;14","http://127.0.1.1:8080/cells/0;http://127.0.1.1:8080/cells/0","target_timestamp_order"
"react-baseline-vs-ccrs-v1","001-baseline","2","http://127.0.1.1:8080/cells/0/2","1780862380237","4938","18","2026-06-07 21:59:40,121","26","2","1","1","0","201;200","18;22","http://127.0.1.1:8080/cells/0/2;http://127.0.1.1:8080/cells/0/2","target_timestamp_order"
"react-baseline-vs-ccrs-v1","001-baseline","3","http://127.0.1.1:8080/cells/1/2","1780862384435","4940","26","2026-06-07 21:59:44,319","34","2","1","1","0","201;200","26;30","http://127.0.1.1:8080/cells/1/2;http://127.0.1.1:8080/cells/1/2","target_timestamp_order"
"react-baseline-vs-ccrs-v1","001-baseline","4","http://127.0.1.1:8080/cells/2/2","1780862388738","4942","34","2026-06-07 21:59:48,654","42","2","1","1","0","201;200","34;38","http://127.0.1.1:8080/cells/2/2;http://127.0.1.1:8080/cells/2/2","target_timestamp_order"
"react-baseline-vs-ccrs-v1","001-baseline","5","http://127.0.1.1:8080/cells/2/3","1780862392748","4944","42","2026-06-07 21:59:52,648","50","2","1","1","0","201;200","42;46","http://127.0.1.1:8080/cells/2/3;http://127.0.1.1:8080/cells/2/3","target_timestamp_order"
"react-baseline-vs-ccrs-v1","001-baseline","6","http://127.0.1.1:8080/cells/2/4","1780862396855","4946","50","2026-06-07 21:59:56,764","58","2","1","1","0","201;200","50;54","http://127.0.1.1:8080/cells/2/4;http://127.0.1.1:8080/cells/2/4","target_timestamp_order"
"react-baseline-vs-ccrs-v1","001-baseline","7","http://127.0.1.1:8080/cells/1/4","1780862401022","4948","58","2026-06-07 22:00:00,926","66","2","1","1","0","201;200","58;62","http://127.0.1.1:8080/cells/1/4;http://127.0.1.1:8080/cells/1/4","target_timestamp_order"
"react-baseline-vs-ccrs-v1","001-baseline","8","http://127.0.1.1:8080/cells/1/5","1780862404967","4950","66","2026-06-07 22:00:04,886","74","2","1","1","0","201;200","66;70","http://127.0.1.1:8080/cells/1/5;http://127.0.1.1:8080/cells/1/5","target_timestamp_order"
"react-baseline-vs-ccrs-v1","001-baseline","9","http://127.0.1.1:8080/cells/1/6","1780862409213","4952","74","2026-06-07 22:00:09,133","82","2","1","1","0","201;200","74;78","http://127.0.1.1:8080/cells/1/6;http://127.0.1.1:8080/cells/1/6","target_timestamp_order"
"react-baseline-vs-ccrs-v1","001-baseline","10","http://127.0.1.1:8080/cells/2/6","1780862413963","4954","82","2026-06-07 22:00:13,876","90","2","1","1","0","201;200","82;86","http://127.0.1.1:8080/cells/2/6;http://127.0.1.1:8080/cells/2/6","target_timestamp_order"
"react-baseline-vs-ccrs-v1","001-baseline","11","http://127.0.1.1:8080/cells/3/6","1780862418116","4956","90","2026-06-07 22:00:18,039","98","2","1","1","0","201;200","90;94","http://127.0.1.1:8080/cells/3/6;http://127.0.1.1:8080/cells/3/6","target_timestamp_order"
"react-baseline-vs-ccrs-v1","001-baseline","12","http://127.0.1.1:8080/cells/3/7","1780862422126","4958","98","2026-06-07 22:00:22,038","106","2","1","1","0","201;200","98;102","http://127.0.1.1:8080/cells/3/7;http://127.0.1.1:8080/cells/3/7","target_timestamp_order"
"react-baseline-vs-ccrs-v1","001-baseline","13","http://127.0.1.1:8080/cells/3/8","1780862427712","4960","106","2026-06-07 22:00:27,614","114","2","1","1","0","201;200","106;110","http://127.0.1.1:8080/cells/3/8;http://127.0.1.1:8080/cells/3/8","target_timestamp_order"
"react-baseline-vs-ccrs-v1","001-baseline","14","http://127.0.1.1:8080/cells/3/9","1780862432155","4962","114","2026-06-07 22:00:32,058","122","2","1","1","0","201;200","114;118","http://127.0.1.1:8080/cells/3/9;http://127.0.1.1:8080/cells/3/9","target_timestamp_order"
"react-baseline-vs-ccrs-v1","001-baseline","15","http://127.0.1.1:8080/cells/4/9","1780862441145","4964","122","2026-06-07 22:00:41,067","130","2","1","1","0","201;200","122;126","http://127.0.1.1:8080/cells/4/9;http://127.0.1.1:8080/cells/4/9","target_timestamp_order"
"react-baseline-vs-ccrs-v1","001-baseline","16","http://127.0.1.1:8080/cells/5/9","1780862445222","4966","130","2026-06-07 22:00:45,123","138","2","1","1","0","201;200","130;134","http://127.0.1.1:8080/cells/5/9;http://127.0.1.1:8080/cells/5/9","target_timestamp_order"
"react-baseline-vs-ccrs-v1","001-baseline","17","http://127.0.1.1:8080/cells/6/9","1780862449949","4968","138","2026-06-07 22:00:49,865","146","2","1","1","0","201;200","138;142","http://127.0.1.1:8080/cells/6/9;http://127.0.1.1:8080/cells/6/9","target_timestamp_order"
"react-baseline-vs-ccrs-v1","001-baseline","18","http://127.0.1.1:8080/cells/7/9","1780862454593","4970","146","2026-06-07 22:00:54,509","154","2","1","1","0","201;200","146;150","http://127.0.1.1:8080/cells/7/9;http://127.0.1.1:8080/cells/7/9","target_timestamp_order"
"react-baseline-vs-ccrs-v1","001-baseline","19","http://127.0.1.1:8080/cells/7/10","1780862459627","4972","154","2026-06-07 22:00:59,546","162","2","1","1","0","201;200","154;158","http://127.0.1.1:8080/cells/7/10;http://127.0.1.1:8080/cells/7/10","target_timestamp_order"
"react-baseline-vs-ccrs-v1","001-baseline","20","http://127.0.1.1:8080/cells/8/10","1780862463763","4974","162","2026-06-07 22:01:03,693","282","30","28","2","4","201;200;409;403;200;200;200;200;200;200;200;200;200;200;200;200;200;200;200;200;200;200;200;200;200;200;200;403;403;200","162;166;170;174;178;182;186;190;194;198;202;206;210;214;218;222;226;230;234;238;242;246;250;254;258;262;266;270;274;278","http://127.0.1.1:8080/cells/8/10;http://127.0.1.1:8080/cells/8/10;http://127.0.1.1:8080/cells/8/10;http://127.0.1.1:8080/cells/7/10;http://127.0.1.1:8080/cells/8/10;http://127.0.1.1:8080/cells/8/10;http://127.0.1.1:8080/cells/8/10;http://127.0.1.1:8080/cells/8/10;http://127.0.1.1:8080/cells/8/10;http://127.0.1.1:8080/cells/8/10;http://127.0.1.1:8080/cells/8/10;http://127.0.1.1:8080/cells/8/10;http://127.0.1.1:8080/maze;http://127.0.1.1:8080/cells/8/10;http://127.0.1.1:8080/cells/8/10;http://127.0.1.1:8080/cells/8/10;http://127.0.1.1:8080/cells/8/10;http://127.0.1.1:8080/cells/8/10;http://127.0.1.1:8080/cells/8/10;http://127.0.1.1:8080/cells/8/10;http://127.0.1.1:8080/cells/8/10;http://127.0.1.1:8080/cells/8/10;http://127.0.1.1:8080/cells/8/10;http://127.0.1.1:8080/cells/8/10;http://127.0.1.1:8080/cells/8/10;http://127.0.1.1:8080/cells/8/10;http://127.0.1.1:8080/cells/8/10;http://127.0.1.1:8080/cells/7/11;http://127.0.1.1:8080/cells/7/10;http://127.0.1.1:8080/cells/8/10","target_timestamp_order"
"react-baseline-vs-ccrs-v1","001-baseline","21","http://127.0.1.1:8080/cells/7/10","1780862529649","4977","282","2026-06-07 22:02:09,570","298","4","3","1","1","201;200;200;403","282;286;290;294","http://127.0.1.1:8080/cells/7/10;http://127.0.1.1:8080/cells/7/10;http://127.0.1.1:8080/cells/7/10;http://127.0.1.1:8080/cells/7/9","target_timestamp_order"
"react-baseline-vs-ccrs-v1","001-baseline","22","http://127.0.1.1:8080/cells/7/9","1780862537999","4979","298","2026-06-07 22:02:17,905","346","12","11","1","7","201;200;200;403;403;403;403;200;403;403;403;200","298;302;306;310;314;318;322;326;330;334;338;342","http://127.0.1.1:8080/cells/7/9;http://127.0.1.1:8080/cells/7/9;http://127.0.1.1:8080/cells/7/9;http://127.0.1.1:8080/cells/6/9;http://127.0.1.1:8080/cells/6/9;http://127.0.1.1:8080/cells/6/9;http://127.0.1.1:8080/cells/7/8;http://127.0.1.1:8080/maze;http://127.0.1.1:8080/cells/6/9;http://127.0.1.1:8080/cells/6/9;http://127.0.1.1:8080/cells/7/8;http://127.0.1.1:8080/cells/7/9","target_timestamp_order"
"react-baseline-vs-ccrs-v1","001-baseline","23","http://127.0.1.1:8080/cells/6/9","1780862567394","4981","346","2026-06-07 22:02:47,298","358","3","2","1","1","201;200;403","346;350;354","http://127.0.1.1:8080/cells/6/9;http://127.0.1.1:8080/cells/6/9;http://127.0.1.1:8080/cells/5/9","target_timestamp_order"
"react-baseline-vs-ccrs-v1","001-baseline","24","http://127.0.1.1:8080/cells/5/9","1780862573542","4983","358","2026-06-07 22:02:53,446","370","3","2","1","1","201;200;403","358;362;366","http://127.0.1.1:8080/cells/5/9;http://127.0.1.1:8080/cells/5/9;http://127.0.1.1:8080/cells/4/9","target_timestamp_order"
"react-baseline-vs-ccrs-v1","001-baseline","25","http://127.0.1.1:8080/cells/4/9","1780862579704","4985","370","2026-06-07 22:02:59,613","382","3","2","1","1","201;200;403","370;374;378","http://127.0.1.1:8080/cells/4/9;http://127.0.1.1:8080/cells/4/9;http://127.0.1.1:8080/cells/3/9","target_timestamp_order"
"react-baseline-vs-ccrs-v1","001-baseline","26","http://127.0.1.1:8080/cells/3/9","1780862587320","4987","382","2026-06-07 22:03:07,239","394","3","2","1","1","201;200;403","382;386;390","http://127.0.1.1:8080/cells/3/9;http://127.0.1.1:8080/cells/3/9;http://127.0.1.1:8080/cells/3/8","target_timestamp_order"
"react-baseline-vs-ccrs-v1","001-baseline","27","http://127.0.1.1:8080/cells/3/8","1780862593598","4989","394","2026-06-07 22:03:13,524","406","3","2","1","1","201;200;403","394;398;402","http://127.0.1.1:8080/cells/3/8;http://127.0.1.1:8080/cells/3/8;http://127.0.1.1:8080/cells/3/7","target_timestamp_order"
