"batch_id","run_id","agent_name","graph_name","run_mode","scenario_id","optimal_moves","exit_cell","enable_contingency_escalation_tool","imported_at","react_log_file","java_log_file","mase_capture_status","mase_event_count","mase_move_count","mase_transaction_count","react_event_count","prompt_visible_event_count","selection_event_count","opportunistic_detected_count","contingency_event_count","java_library_evidence_count","decision_metric_quality","notes"
"react-baseline-vs-ccrs-v1","001-baseline","react_baseline_v1_01","graph","notebook","",,"","False","2026-06-07T22:15:48.7727167+02:00","react_baseline_v1_01_20260607_215930.log",,"completed","136","65","71","0","0","0","0","0","0","missing_selection_event","React baseline notebook run"
"react-baseline-vs-ccrs-v1","002-ccrs","react_ccrs_mazeV1_04","graph_ccrs","notebook","",,"","True","2026-06-07T22:16:06.4478683+02:00","react_ccrs_mazeV1_04_20260607_211522.log","react_ccrs_mazeV1_04_20260607_211522.java.log","completed","79","37","42","1130","24","185","21","387","229","selection_event","React CCRS V1-04 notebook run"
