"batch_id","run_id","line","mase_run_id","type","timestamp","agent","cell","graph","transaction_id","archive_id"
"react-ccrs-mazeV1-04-latest","001-ccrs","4936","run-2026-06-07T19-05-57-608Z","AGENT_MOVED","1780859728006","http://127.0.1.1:8080/agents/react_ccrs_mazeV1_04","http://127.0.1.1:8080/cells/0",,"-1","6449552"
"react-ccrs-mazeV1-04-latest","001-ccrs","4937","run-2026-06-07T19-05-57-608Z","TRANSACTION","1780859728008","react_ccrs_mazeV1_04",,"http://127.0.1.1:8080/cells/0","7545","6449553"
"react-ccrs-mazeV1-04-latest","001-ccrs","4938","run-2026-06-07T19-05-57-608Z","AGENT_MOVED","1780859732086","http://127.0.1.1:8080/agents/react_ccrs_mazeV1_04","http://127.0.1.1:8080/cells/0/2",,"-1","6449554"
"react-ccrs-mazeV1-04-latest","001-ccrs","4939","run-2026-06-07T19-05-57-608Z","TRANSACTION","1780859732088","react_ccrs_mazeV1_04",,"http://127.0.1.1:8080/cells/0/2","7546","6449555"
"react-ccrs-mazeV1-04-latest","001-ccrs","4940","run-2026-06-07T19-05-57-608Z","AGENT_MOVED","1780859736003","http://127.0.1.1:8080/agents/react_ccrs_mazeV1_04","http://127.0.1.1:8080/cells/1/2",,"-1","6449556"
"react-ccrs-mazeV1-04-latest","001-ccrs","4941","run-2026-06-07T19-05-57-608Z","TRANSACTION","1780859736007","react_ccrs_mazeV1_04",,"http://127.0.1.1:8080/cells/1/2","7547","6449557"
"react-ccrs-mazeV1-04-latest","001-ccrs","4942","run-2026-06-07T19-05-57-608Z","AGENT_MOVED","1780859740819","http://127.0.1.1:8080/agents/react_ccrs_mazeV1_04","http://127.0.1.1:8080/cells/2/2",,"-1","6449558"
"react-ccrs-mazeV1-04-latest","001-ccrs","4943","run-2026-06-07T19-05-57-608Z","TRANSACTION","1780859740820","react_ccrs_mazeV1_04",,"http://127.0.1.1:8080/cells/2/2","7548","6449559"
"react-ccrs-mazeV1-04-latest","001-ccrs","4944","run-2026-06-07T19-05-57-608Z","AGENT_MOVED","1780859749011","http://127.0.1.1:8080/agents/react_ccrs_mazeV1_04","http://127.0.1.1:8080/cells/3/2",,"-1","6449560"
"react-ccrs-mazeV1-04-latest","001-ccrs","4945","run-2026-06-07T19-05-57-608Z","TRANSACTION","1780859749013","react_ccrs_mazeV1_04",,"http://127.0.1.1:8080/cells/3/2","7549","6449561"
"react-ccrs-mazeV1-04-latest","001-ccrs","4946","run-2026-06-07T19-05-57-608Z","AGENT_MOVED","1780859753182","http://127.0.1.1:8080/agents/react_ccrs_mazeV1_04","http://127.0.1.1:8080/cells/4/2",,"-1","6449562"
"react-ccrs-mazeV1-04-latest","001-ccrs","4947","run-2026-06-07T19-05-57-608Z","TRANSACTION","1780859753184","react_ccrs_mazeV1_04",,"http://127.0.1.1:8080/cells/4/2","7550","6449563"
"react-ccrs-mazeV1-04-latest","001-ccrs","4948","run-2026-06-07T19-05-57-608Z","AGENT_MOVED","1780859758370","http://127.0.1.1:8080/agents/react_ccrs_mazeV1_04","http://127.0.1.1:8080/cells/5/2",,"-1","6449564"
"react-ccrs-mazeV1-04-latest","001-ccrs","4949","run-2026-06-07T19-05-57-608Z","TRANSACTION","1780859758372","react_ccrs_mazeV1_04",,"http://127.0.1.1:8080/cells/5/2","7551","6449565"
"react-ccrs-mazeV1-04-latest","001-ccrs","4950","run-2026-06-07T19-05-57-608Z","AGENT_MOVED","1780859762818","http://127.0.1.1:8080/agents/react_ccrs_mazeV1_04","http://127.0.1.1:8080/cells/6/2",,"-1","6449566"
"react-ccrs-mazeV1-04-latest","001-ccrs","4951","run-2026-06-07T19-05-57-608Z","TRANSACTION","1780859762820","react_ccrs_mazeV1_04",,"http://127.0.1.1:8080/cells/6/2","7552","6449567"
"react-ccrs-mazeV1-04-latest","001-ccrs","4952","run-2026-06-07T19-05-57-608Z","AGENT_MOVED","1780859773180","http://127.0.1.1:8080/agents/react_ccrs_mazeV1_04","http://127.0.1.1:8080/cells/7/2",,"-1","6449568"
"react-ccrs-mazeV1-04-latest","001-ccrs","4953","run-2026-06-07T19-05-57-608Z","TRANSACTION","1780859773181","react_ccrs_mazeV1_04",,"http://127.0.1.1:8080/cells/7/2","7553","6449569"
"react-ccrs-mazeV1-04-latest","001-ccrs","4954","run-2026-06-07T19-05-57-608Z","AGENT_MOVED","1780859777448","http://127.0.1.1:8080/agents/react_ccrs_mazeV1_04","http://127.0.1.1:8080/cells/7/3",,"-1","6449570"
"react-ccrs-mazeV1-04-latest","001-ccrs","4955","run-2026-06-07T19-05-57-608Z","TRANSACTION","1780859777450","react_ccrs_mazeV1_04",,"http://127.0.1.1:8080/cells/7/3","7554","6449571"
"react-ccrs-mazeV1-04-latest","001-ccrs","4956","run-2026-06-07T19-05-57-608Z","AGENT_MOVED","1780859782647","http://127.0.1.1:8080/agents/react_ccrs_mazeV1_04","http://127.0.1.1:8080/cells/7/4",,"-1","6449572"
"react-ccrs-mazeV1-04-latest","001-ccrs","4957","run-2026-06-07T19-05-57-608Z","TRANSACTION","1780859782649","react_ccrs_mazeV1_04",,"http://127.0.1.1:8080/cells/7/4","7555","6449573"
"react-ccrs-mazeV1-04-latest","001-ccrs","4958","run-2026-06-07T19-05-57-608Z","AGENT_MOVED","1780859786909","http://127.0.1.1:8080/agents/react_ccrs_mazeV1_04","http://127.0.1.1:8080/cells/8/4",,"-1","6449574"
"react-ccrs-mazeV1-04-latest","001-ccrs","4959","run-2026-06-07T19-05-57-608Z","TRANSACTION","1780859786916","react_ccrs_mazeV1_04",,"http://127.0.1.1:8080/cells/8/4","7556","6449575"
"react-ccrs-mazeV1-04-latest","001-ccrs","4960","run-2026-06-07T19-05-57-608Z","AGENT_MOVED","1780859791306","http://127.0.1.1:8080/agents/react_ccrs_mazeV1_04","http://127.0.1.1:8080/cells/8/5",,"-1","6449576"
"react-ccrs-mazeV1-04-latest","001-ccrs","4961","run-2026-06-07T19-05-57-608Z","TRANSACTION","1780859791310","react_ccrs_mazeV1_04",,"http://127.0.1.1:8080/cells/8/5","7557","6449577"
"react-ccrs-mazeV1-04-latest","001-ccrs","4962","run-2026-06-07T19-05-57-608Z","AGENT_MOVED","1780859795835","http://127.0.1.1:8080/agents/react_ccrs_mazeV1_04","http://127.0.1.1:8080/cells/8/6",,"-1","6449578"
"react-ccrs-mazeV1-04-latest","001-ccrs","4963","run-2026-06-07T19-05-57-608Z","TRANSACTION","1780859795838","react_ccrs_mazeV1_04",,"http://127.0.1.1:8080/cells/8/6","7558","6449579"
"react-ccrs-mazeV1-04-latest","001-ccrs","4964","run-2026-06-07T19-05-57-608Z","AGENT_MOVED","1780859800140","http://127.0.1.1:8080/agents/react_ccrs_mazeV1_04","http://127.0.1.1:8080/cells/9/6",,"-1","6449580"
"react-ccrs-mazeV1-04-latest","001-ccrs","4965","run-2026-06-07T19-05-57-608Z","TRANSACTION","1780859800143","react_ccrs_mazeV1_04",,"http://127.0.1.1:8080/cells/9/6","7559","6449581"
"react-ccrs-mazeV1-04-latest","001-ccrs","4966","run-2026-06-07T19-05-57-608Z","AGENT_MOVED","1780859805271","http://127.0.1.1:8080/agents/react_ccrs_mazeV1_04","http://127.0.1.1:8080/cells/10/6",,"-1","6449582"
"react-ccrs-mazeV1-04-latest","001-ccrs","4967","run-2026-06-07T19-05-57-608Z","TRANSACTION","1780859805277","react_ccrs_mazeV1_04",,"http://127.0.1.1:8080/cells/10/6","7560","6449583"
"react-ccrs-mazeV1-04-latest","001-ccrs","4968","run-2026-06-07T19-05-57-608Z","AGENT_MOVED","1780859812533","http://127.0.1.1:8080/agents/react_ccrs_mazeV1_04","http://127.0.1.1:8080/cells/11/6",,"-1","6449584"
"react-ccrs-mazeV1-04-latest","001-ccrs","4969","run-2026-06-07T19-05-57-608Z","TRANSACTION","1780859812537","react_ccrs_mazeV1_04",,"http://127.0.1.1:8080/cells/11/6","7561","6449585"
"react-ccrs-mazeV1-04-latest","001-ccrs","4970","run-2026-06-07T19-05-57-608Z","AGENT_MOVED","1780859825677","http://127.0.1.1:8080/agents/react_ccrs_mazeV1_04","http://127.0.1.1:8080/cells/11/7",,"-1","6449586"
"react-ccrs-mazeV1-04-latest","001-ccrs","4971","run-2026-06-07T19-05-57-608Z","TRANSACTION","1780859825678","react_ccrs_mazeV1_04",,"http://127.0.1.1:8080/cells/11/7","7562","6449587"
