"batch_id","run_id","move_sequence","move_cell","move_timestamp","move_line","start_action_line","start_action_timestamp","end_before_action_line","action_count","get_count","post_count","http_error_count","status_codes","action_lines","action_targets","match_quality"
"react-ccrs-mazeV1-04-latest","001-ccrs","1","http://127.0.1.1:8080/cells/0","1780859728006","4936","28","2026-06-07 21:15:27,918","103","2","1","1","0","201;200","28;38","http://127.0.1.1:8080/cells/0;http://127.0.1.1:8080/cells/0","target_timestamp_order"
"react-ccrs-mazeV1-04-latest","001-ccrs","2","http://127.0.1.1:8080/cells/0/2","1780859732086","4938","103","2026-06-07 21:15:32,004","178","2","1","1","0","201;200","103;113","http://127.0.1.1:8080/cells/0/2;http://127.0.1.1:8080/cells/0/2","target_timestamp_order"
"react-ccrs-mazeV1-04-latest","001-ccrs","3","http://127.0.1.1:8080/cells/1/2","1780859736003","4940","178","2026-06-07 21:15:35,926","253","2","1","1","0","201;200","178;188","http://127.0.1.1:8080/cells/1/2;http://127.0.1.1:8080/cells/1/2","target_timestamp_order"
"react-ccrs-mazeV1-04-latest","001-ccrs","4","http://127.0.1.1:8080/cells/2/2","1780859740819","4942","253","2026-06-07 21:15:40,714","328","2","1","1","0","201;200","253;263","http://127.0.1.1:8080/cells/2/2;http://127.0.1.1:8080/cells/2/2","target_timestamp_order"
"react-ccrs-mazeV1-04-latest","001-ccrs","5","http://127.0.1.1:8080/cells/3/2","1780859749011","4944","328","2026-06-07 21:15:48,923","403","2","1","1","0","201;200","328;338","http://127.0.1.1:8080/cells/3/2;http://127.0.1.1:8080/cells/3/2","target_timestamp_order"
"react-ccrs-mazeV1-04-latest","001-ccrs","6","http://127.0.1.1:8080/cells/4/2","1780859753182","4946","403","2026-06-07 21:15:53,093","478","2","1","1","0","201;200","403;413","http://127.0.1.1:8080/cells/4/2;http://127.0.1.1:8080/cells/4/2","target_timestamp_order"
"react-ccrs-mazeV1-04-latest","001-ccrs","7","http://127.0.1.1:8080/cells/5/2","1780859758370","4948","478","2026-06-07 21:15:58,277","553","2","1","1","0","201;200","478;488","http://127.0.1.1:8080/cells/5/2;http://127.0.1.1:8080/cells/5/2","target_timestamp_order"
"react-ccrs-mazeV1-04-latest","001-ccrs","8","http://127.0.1.1:8080/cells/6/2","1780859762818","4950","553","2026-06-07 21:16:02,740","628","2","1","1","0","201;200","553;563","http://127.0.1.1:8080/cells/6/2;http://127.0.1.1:8080/cells/6/2","target_timestamp_order"
"react-ccrs-mazeV1-04-latest","001-ccrs","9","http://127.0.1.1:8080/cells/7/2","1780859773180","4952","628","2026-06-07 21:16:13,100","703","2","1","1","0","201;200","628;638","http://127.0.1.1:8080/cells/7/2;http://127.0.1.1:8080/cells/7/2","target_timestamp_order"
"react-ccrs-mazeV1-04-latest","001-ccrs","10","http://127.0.1.1:8080/cells/7/3","1780859777448","4954","703","2026-06-07 21:16:17,364","778","2","1","1","0","201;200","703;713","http://127.0.1.1:8080/cells/7/3;http://127.0.1.1:8080/cells/7/3","target_timestamp_order"
"react-ccrs-mazeV1-04-latest","001-ccrs","11","http://127.0.1.1:8080/cells/7/4","1780859782647","4956","778","2026-06-07 21:16:22,560","853","2","1","1","0","201;200","778;788","http://127.0.1.1:8080/cells/7/4;http://127.0.1.1:8080/cells/7/4","target_timestamp_order"
"react-ccrs-mazeV1-04-latest","001-ccrs","12","http://127.0.1.1:8080/cells/8/4","1780859786909","4958","853","2026-06-07 21:16:26,790","928","2","1","1","0","201;200","853;863","http://127.0.1.1:8080/cells/8/4;http://127.0.1.1:8080/cells/8/4","target_timestamp_order"
"react-ccrs-mazeV1-04-latest","001-ccrs","13","http://127.0.1.1:8080/cells/8/5","1780859791306","4960","928","2026-06-07 21:16:31,189","1003","2","1","1","0","201;200","928;938","http://127.0.1.1:8080/cells/8/5;http://127.0.1.1:8080/cells/8/5","target_timestamp_order"
"react-ccrs-mazeV1-04-latest","001-ccrs","14","http://127.0.1.1:8080/cells/8/6","1780859795835","4962","1003","2026-06-07 21:16:35,727","1078","2","1","1","0","201;200","1003;1013","http://127.0.1.1:8080/cells/8/6;http://127.0.1.1:8080/cells/8/6","target_timestamp_order"
"react-ccrs-mazeV1-04-latest","001-ccrs","15","http://127.0.1.1:8080/cells/9/6","1780859800140","4964","1078","2026-06-07 21:16:40,032","1153","2","1","1","0","201;200","1078;1088","http://127.0.1.1:8080/cells/9/6;http://127.0.1.1:8080/cells/9/6","target_timestamp_order"
