"batch_id","run_id","opportunistic_count","selection_count","selected_rank_1_count","selected_none_count","rank_unavailable_count"
"react-ccrs-mazeV1-04-latest","001-ccrs","0","164","0","0","0"
"react-ccrs-mazeV1-04-latest","001-ccrs","1","21","19","2","0"
