"batch_id","run_id","sequence","line","timestamp","agent","cell","path_analysis_cell"
"react-ccrs-mazeV1-04-latest","001-ccrs","1","4936","1780859728006","http://127.0.1.1:8080/agents/react_ccrs_mazeV1_04","http://127.0.1.1:8080/cells/0","http://127.0.1.1:8080/cells/0"
"react-ccrs-mazeV1-04-latest","001-ccrs","2","4938","1780859732086","http://127.0.1.1:8080/agents/react_ccrs_mazeV1_04","http://127.0.1.1:8080/cells/0/2","/cells/0/2"
"react-ccrs-mazeV1-04-latest","001-ccrs","3","4940","1780859736003","http://127.0.1.1:8080/agents/react_ccrs_mazeV1_04","http://127.0.1.1:8080/cells/1/2","/cells/1/2"
"react-ccrs-mazeV1-04-latest","001-ccrs","4","4942","1780859740819","http://127.0.1.1:8080/agents/react_ccrs_mazeV1_04","http://127.0.1.1:8080/cells/2/2","/cells/2/2"
"react-ccrs-mazeV1-04-latest","001-ccrs","5","4944","1780859749011","http://127.0.1.1:8080/agents/react_ccrs_mazeV1_04","http://127.0.1.1:8080/cells/3/2","/cells/3/2"
"react-ccrs-mazeV1-04-latest","001-ccrs","6","4946","1780859753182","http://127.0.1.1:8080/agents/react_ccrs_mazeV1_04","http://127.0.1.1:8080/cells/4/2","/cells/4/2"
"react-ccrs-mazeV1-04-latest","001-ccrs","7","4948","1780859758370","http://127.0.1.1:8080/agents/react_ccrs_mazeV1_04","http://127.0.1.1:8080/cells/5/2","/cells/5/2"
"react-ccrs-mazeV1-04-latest","001-ccrs","8","4950","1780859762818","http://127.0.1.1:8080/agents/react_ccrs_mazeV1_04","http://127.0.1.1:8080/cells/6/2","/cells/6/2"
"react-ccrs-mazeV1-04-latest","001-ccrs","9","4952","1780859773180","http://127.0.1.1:8080/agents/react_ccrs_mazeV1_04","http://127.0.1.1:8080/cells/7/2","/cells/7/2"
"react-ccrs-mazeV1-04-latest","001-ccrs","10","4954","1780859777448","http://127.0.1.1:8080/agents/react_ccrs_mazeV1_04","http://127.0.1.1:8080/cells/7/3","/cells/7/3"
"react-ccrs-mazeV1-04-latest","001-ccrs","11","4956","1780859782647","http://127.0.1.1:8080/agents/react_ccrs_mazeV1_04","http://127.0.1.1:8080/cells/7/4","/cells/7/4"
"react-ccrs-mazeV1-04-latest","001-ccrs","12","4958","1780859786909","http://127.0.1.1:8080/agents/react_ccrs_mazeV1_04","http://127.0.1.1:8080/cells/8/4","/cells/8/4"
"react-ccrs-mazeV1-04-latest","001-ccrs","13","4960","1780859791306","http://127.0.1.1:8080/agents/react_ccrs_mazeV1_04","http://127.0.1.1:8080/cells/8/5","/cells/8/5"
"react-ccrs-mazeV1-04-latest","001-ccrs","14","4962","1780859795835","http://127.0.1.1:8080/agents/react_ccrs_mazeV1_04","http://127.0.1.1:8080/cells/8/6","/cells/8/6"
"react-ccrs-mazeV1-04-latest","001-ccrs","15","4964","1780859800140","http://127.0.1.1:8080/agents/react_ccrs_mazeV1_04","http://127.0.1.1:8080/cells/9/6","/cells/9/6"
"react-ccrs-mazeV1-04-latest","001-ccrs","16","4966","1780859805271","http://127.0.1.1:8080/agents/react_ccrs_mazeV1_04","http://127.0.1.1:8080/cells/10/6","/cells/10/6"
"react-ccrs-mazeV1-04-latest","001-ccrs","17","4968","1780859812533","http://127.0.1.1:8080/agents/react_ccrs_mazeV1_04","http://127.0.1.1:8080/cells/11/6","/cells/11/6"
"react-ccrs-mazeV1-04-latest","001-ccrs","18","4970","1780859825677","http://127.0.1.1:8080/agents/react_ccrs_mazeV1_04","http://127.0.1.1:8080/cells/11/7","/cells/11/7"
"react-ccrs-mazeV1-04-latest","001-ccrs","19","4972","1780859894625","http://127.0.1.1:8080/agents/react_ccrs_mazeV1_04","http://127.0.1.1:8080/cells/11/8","/cells/11/8"
"react-ccrs-mazeV1-04-latest","001-ccrs","20","4974","1780859950218","http://127.0.1.1:8080/agents/react_ccrs_mazeV1_04","http://127.0.1.1:8080/cells/11/9","/cells/11/9"
"react-ccrs-mazeV1-04-latest","001-ccrs","21","4976","1780859995380","http://127.0.1.1:8080/agents/react_ccrs_mazeV1_04","http://127.0.1.1:8080/cells/11/10","/cells/11/10"
"react-ccrs-mazeV1-04-latest","001-ccrs","22","4978","1780860008821","http://127.0.1.1:8080/agents/react_ccrs_mazeV1_04","http://127.0.1.1:8080/cells/11/11","/cells/11/11"
"react-ccrs-mazeV1-04-latest","001-ccrs","23","4980","1780860027191","http://127.0.1.1:8080/agents/react_ccrs_mazeV1_04","http://127.0.1.1:8080/cells/10/11","/cells/10/11"
"react-ccrs-mazeV1-04-latest","001-ccrs","24","4984","1780860073456","http://127.0.1.1:8080/agents/react_ccrs_mazeV1_04","http://127.0.1.1:8080/cells/11/11","/cells/11/11"
"react-ccrs-mazeV1-04-latest","001-ccrs","25","4986","1780860095097","http://127.0.1.1:8080/agents/react_ccrs_mazeV1_04","http://127.0.1.1:8080/cells/12/11","/cells/12/11"
"react-ccrs-mazeV1-04-latest","001-ccrs","26","4988","1780860165935","http://127.0.1.1:8080/agents/react_ccrs_mazeV1_04","http://127.0.1.1:8080/cells/11/11","/cells/11/11"
"react-ccrs-mazeV1-04-latest","001-ccrs","27","4990","1780860176635","http://127.0.1.1:8080/agents/react_ccrs_mazeV1_04","http://127.0.1.1:8080/cells/10/11","/cells/10/11"
"react-ccrs-mazeV1-04-latest","001-ccrs","28","4994","1780860193844","http://127.0.1.1:8080/agents/react_ccrs_mazeV1_04","http://127.0.1.1:8080/cells/11/11","/cells/11/11"
