"batch_id","run_id","agent_name","graph_name","file","line","timestamp","tool_call_id","action_type","target","outcome","http_status","http_ok","response_length","content_type","error","error_type","result_line","result_timestamp"
"react-ccrs-mazeV1-01-latest","001-ccrs","react_ccrs_mazeV1_01","graph_ccrs","react_ccrs_mazeV1_01_20260607_174940.log","9","2026-06-07 17:49:45,122","","http_get","http://127.0.1.1:8080/maze","invoked","","","","","","","",""
"react-ccrs-mazeV1-01-latest","001-ccrs","react_ccrs_mazeV1_01","graph_ccrs","react_ccrs_mazeV1_01_20260607_174940.log","27","2026-06-07 17:49:49,156","","http_post","http://127.0.1.1:8080/cells/0","invoked","","","","","","","",""
"react-ccrs-mazeV1-01-latest","001-ccrs","react_ccrs_mazeV1_01","graph_ccrs","react_ccrs_mazeV1_01_20260607_174940.log","36","2026-06-07 17:49:50,771","","http_get","http://127.0.1.1:8080/cells/0","invoked","","","","","","","",""
"react-ccrs-mazeV1-01-latest","001-ccrs","react_ccrs_mazeV1_01","graph_ccrs","react_ccrs_mazeV1_01_20260607_174940.log","100","2026-06-07 17:49:52,740","","http_post","http://127.0.1.1:8080/cells/0/2","invoked","","","","","","","",""
"react-ccrs-mazeV1-01-latest","001-ccrs","react_ccrs_mazeV1_01","graph_ccrs","react_ccrs_mazeV1_01_20260607_174940.log","109","2026-06-07 17:49:54,302","","http_get","http://127.0.1.1:8080/cells/0/2","invoked","","","","","","","",""
"react-ccrs-mazeV1-01-latest","001-ccrs","react_ccrs_mazeV1_01","graph_ccrs","react_ccrs_mazeV1_01_20260607_174940.log","173","2026-06-07 17:49:56,329","","http_post","http://127.0.1.1:8080/cells/1/2","invoked","","","","","","","",""
"react-ccrs-mazeV1-01-latest","001-ccrs","react_ccrs_mazeV1_01","graph_ccrs","react_ccrs_mazeV1_01_20260607_174940.log","182","2026-06-07 17:49:57,862","","http_get","http://127.0.1.1:8080/cells/1/2","invoked","","","","","","","",""
"react-ccrs-mazeV1-01-latest","001-ccrs","react_ccrs_mazeV1_01","graph_ccrs","react_ccrs_mazeV1_01_20260607_174940.log","246","2026-06-07 17:50:00,013","","http_post","http://127.0.1.1:8080/cells/2/2","invoked","","","","","","","",""
"react-ccrs-mazeV1-01-latest","001-ccrs","react_ccrs_mazeV1_01","graph_ccrs","react_ccrs_mazeV1_01_20260607_174940.log","255","2026-06-07 17:50:01,675","","http_get","http://127.0.1.1:8080/cells/2/2","invoked","","","","","","","",""
"react-ccrs-mazeV1-01-latest","001-ccrs","react_ccrs_mazeV1_01","graph_ccrs","react_ccrs_mazeV1_01_20260607_174940.log","319","2026-06-07 17:50:03,652","","http_post","http://127.0.1.1:8080/cells/3/2","invoked","","","","","","","",""
"react-ccrs-mazeV1-01-latest","001-ccrs","react_ccrs_mazeV1_01","graph_ccrs","react_ccrs_mazeV1_01_20260607_174940.log","328","2026-06-07 17:50:05,138","","http_get","http://127.0.1.1:8080/cells/3/2","invoked","","","","","","","",""
"react-ccrs-mazeV1-01-latest","001-ccrs","react_ccrs_mazeV1_01","graph_ccrs","react_ccrs_mazeV1_01_20260607_174940.log","392","2026-06-07 17:50:07,186","","http_post","http://127.0.1.1:8080/cells/4/2","invoked","","","","","","","",""
"react-ccrs-mazeV1-01-latest","001-ccrs","react_ccrs_mazeV1_01","graph_ccrs","react_ccrs_mazeV1_01_20260607_174940.log","401","2026-06-07 17:50:09,191","","http_get","http://127.0.1.1:8080/cells/4/2","invoked","","","","","","","",""
"react-ccrs-mazeV1-01-latest","001-ccrs","react_ccrs_mazeV1_01","graph_ccrs","react_ccrs_mazeV1_01_20260607_174940.log","465","2026-06-07 17:50:11,617","","http_post","http://127.0.1.1:8080/cells/5/2","invoked","","","","","","","",""
"react-ccrs-mazeV1-01-latest","001-ccrs","react_ccrs_mazeV1_01","graph_ccrs","react_ccrs_mazeV1_01_20260607_174940.log","474","2026-06-07 17:50:17,019","","http_get","http://127.0.1.1:8080/cells/5/2","invoked","","","","","","","",""
"react-ccrs-mazeV1-01-latest","001-ccrs","react_ccrs_mazeV1_01","graph_ccrs","react_ccrs_mazeV1_01_20260607_174940.log","538","2026-06-07 17:50:19,039","","http_post","http://127.0.1.1:8080/cells/6/2","invoked","","","","","","","",""
"react-ccrs-mazeV1-01-latest","001-ccrs","react_ccrs_mazeV1_01","graph_ccrs","react_ccrs_mazeV1_01_20260607_174940.log","547","2026-06-07 17:50:20,616","","http_get","http://127.0.1.1:8080/cells/6/2","invoked","","","","","","","",""
"react-ccrs-mazeV1-01-latest","001-ccrs","react_ccrs_mazeV1_01","graph_ccrs","react_ccrs_mazeV1_01_20260607_174940.log","611","2026-06-07 17:50:22,773","","http_post","http://127.0.1.1:8080/cells/7/2","invoked","","","","","","","",""
"react-ccrs-mazeV1-01-latest","001-ccrs","react_ccrs_mazeV1_01","graph_ccrs","react_ccrs_mazeV1_01_20260607_174940.log","620","2026-06-07 17:50:24,526","","http_get","http://127.0.1.1:8080/cells/7/2","invoked","","","","","","","",""
"react-ccrs-mazeV1-01-latest","001-ccrs","react_ccrs_mazeV1_01","graph_ccrs","react_ccrs_mazeV1_01_20260607_174940.log","684","2026-06-07 17:50:26,759","","http_post","http://127.0.1.1:8080/cells/7/3","invoked","","","","","","","",""
"react-ccrs-mazeV1-01-latest","001-ccrs","react_ccrs_mazeV1_01","graph_ccrs","react_ccrs_mazeV1_01_20260607_174940.log","693","2026-06-07 17:50:28,277","","http_get","http://127.0.1.1:8080/cells/7/3","invoked","","","","","","","",""
