"batch_id","run_id","agent_name","graph_name","file","line","react_event","cycle","cycle_timestamp","strategy_id","trace_id","top_action","stop","reason","target","matched_entries","active_entries"
"react-ccrs-mazeV1-01-latest","001-ccrs","react_ccrs_mazeV1_01","graph_ccrs","react_ccrs_mazeV1_01_20260607_174940.log","399","react.ccrs.contingency.escalation.considered","13",,,,,,,,,
"react-ccrs-mazeV1-01-latest","001-ccrs","react_ccrs_mazeV1_01","graph_ccrs","react_ccrs_mazeV1_01_20260607_174940.log","400","react.ccrs.contingency.escalation.skipped","13",,,,,,"no_escalation_condition_met",,,
"react-ccrs-mazeV1-01-latest","001-ccrs","react_ccrs_mazeV1_01","graph_ccrs","react_ccrs_mazeV1_01_20260607_174940.log","463","react.ccrs.contingency.escalation.considered","14",,,,,,,,,
"react-ccrs-mazeV1-01-latest","001-ccrs","react_ccrs_mazeV1_01","graph_ccrs","react_ccrs_mazeV1_01_20260607_174940.log","464","react.ccrs.contingency.escalation.skipped","14",,,,,,"no_escalation_condition_met",,,
"react-ccrs-mazeV1-01-latest","001-ccrs","react_ccrs_mazeV1_01","graph_ccrs","react_ccrs_mazeV1_01_20260607_174940.log","472","react.ccrs.contingency.escalation.considered","15",,,,,,,,,
"react-ccrs-mazeV1-01-latest","001-ccrs","react_ccrs_mazeV1_01","graph_ccrs","react_ccrs_mazeV1_01_20260607_174940.log","473","react.ccrs.contingency.escalation.skipped","15",,,,,,"no_escalation_condition_met",,,
"react-ccrs-mazeV1-01-latest","001-ccrs","react_ccrs_mazeV1_01","graph_ccrs","react_ccrs_mazeV1_01_20260607_174940.log","536","react.ccrs.contingency.escalation.considered","16",,,,,,,,,
"react-ccrs-mazeV1-01-latest","001-ccrs","react_ccrs_mazeV1_01","graph_ccrs","react_ccrs_mazeV1_01_20260607_174940.log","537","react.ccrs.contingency.escalation.skipped","16",,,,,,"no_escalation_condition_met",,,
"react-ccrs-mazeV1-01-latest","001-ccrs","react_ccrs_mazeV1_01","graph_ccrs","react_ccrs_mazeV1_01_20260607_174940.log","545","react.ccrs.contingency.escalation.considered","17",,,,,,,,,
"react-ccrs-mazeV1-01-latest","001-ccrs","react_ccrs_mazeV1_01","graph_ccrs","react_ccrs_mazeV1_01_20260607_174940.log","546","react.ccrs.contingency.escalation.skipped","17",,,,,,"no_escalation_condition_met",,,
