"batch_id","run_id","agent_name","graph_name","sequence","cycle","cycle_timestamp","duration_ms","file","line","event_count","opportunistic_detected_count","opportunistic_prompt_visible_count","selection_count","contingency_event_count","contingency_guidance_event_count"
"react-ccrs-mazeV1-01-latest","001-ccrs","react_ccrs_mazeV1_01","graph_ccrs","249","248","2026-06-07T16:02:10.024+00:00","2006","react_ccrs_mazeV1_01_20260607_174940.log","10482","8","2","2","1","2","0"
"react-ccrs-mazeV1-01-latest","001-ccrs","react_ccrs_mazeV1_01","graph_ccrs","250","249","2026-06-07T16:02:12.256+00:00","2232","react_ccrs_mazeV1_01_20260607_174940.log","10565","5","0","0","1","2","0"
"react-ccrs-mazeV1-01-latest","001-ccrs","react_ccrs_mazeV1_01","graph_ccrs","251","250","2026-06-07T16:02:14.724+00:00","2468","react_ccrs_mazeV1_01_20260607_174940.log","10580","5","0","0","1","2","0"
"react-ccrs-mazeV1-01-latest","001-ccrs","react_ccrs_mazeV1_01","graph_ccrs","252","251","2026-06-07T16:02:17.030+00:00","2306","react_ccrs_mazeV1_01_20260607_174940.log","10595","5","0","0","1","2","0"
"react-ccrs-mazeV1-01-latest","001-ccrs","react_ccrs_mazeV1_01","graph_ccrs","253","252","2026-06-07T16:02:19.100+00:00","2070","react_ccrs_mazeV1_01_20260607_174940.log","10610","5","0","0","1","2","0"
"react-ccrs-mazeV1-01-latest","001-ccrs","react_ccrs_mazeV1_01","graph_ccrs","254","253","2026-06-07T16:02:21.380+00:00","2280","react_ccrs_mazeV1_01_20260607_174940.log","10625","5","0","0","1","2","0"
"react-ccrs-mazeV1-01-latest","001-ccrs","react_ccrs_mazeV1_01","graph_ccrs","255","254","2026-06-07T16:02:23.653+00:00","2273","react_ccrs_mazeV1_01_20260607_174940.log","10640","5","0","0","1","2","0"
"react-ccrs-mazeV1-01-latest","001-ccrs","react_ccrs_mazeV1_01","graph_ccrs","256","255","2026-06-07T16:02:26.326+00:00","2673","react_ccrs_mazeV1_01_20260607_174940.log","10778","5","0","0","1","2","0"
"react-ccrs-mazeV1-01-latest","001-ccrs","react_ccrs_mazeV1_01","graph_ccrs","257","256","2026-06-07T16:02:28.509+00:00","2183","react_ccrs_mazeV1_01_20260607_174940.log","10793","8","2","2","1","2","0"
"react-ccrs-mazeV1-01-latest","001-ccrs","react_ccrs_mazeV1_01","graph_ccrs","258","257","2026-06-07T16:02:32.689+00:00","4180","react_ccrs_mazeV1_01_20260607_174940.log","10876","5","0","0","1","2","0"
