"batch_id","run_id","move_sequence","move_cell","move_timestamp","duration_ms","action_count","http_success_count","http_failure_count","get_count","post_count","status_codes"
"react-baseline-vs-ccrs-v1-t2","002-ccrs","23","http://127.0.1.1:8080/cells/10/3","1782390246469","13575","13","12","1","12","1","201;200;200;200;200;200;200;200;200;200;200;200;403"
"react-baseline-vs-ccrs-v1-t2","002-ccrs","24","http://127.0.1.1:8080/cells/10/2","1782390279744","33275","6","5","1","5","1","201;200;200;200;403;200"
"react-baseline-vs-ccrs-v1-t2","002-ccrs","25","http://127.0.1.1:8080/cells/9/2","1782390296084","16340","2","2","0","1","1","201;200"
"react-baseline-vs-ccrs-v1-t2","002-ccrs","26","http://127.0.1.1:8080/cells/8/2","1782390301775","5691","25","23","2","24","1","201;200;200;200;200;200;200;200;200;200;200;403;200;200;200;200;200;200;200;200;200;200;200;200;403"
"react-baseline-vs-ccrs-v1-t2","002-ccrs","27","http://127.0.1.1:8080/cells/7/2","1782390361765","59990","2","2","0","1","1","201;200"
"react-baseline-vs-ccrs-v1-t2","002-ccrs","28","http://127.0.1.1:8080/cells/7/3","1782390372703","10938","2","2","0","1","1","201;200"
"react-baseline-vs-ccrs-v1-t2","002-ccrs","29","http://127.0.1.1:8080/cells/7/4","1782390378290","5587","8","8","0","7","1","201;200;200;200;200;200;200;200"
"react-baseline-vs-ccrs-v1-t2","002-ccrs","30","http://127.0.1.1:8080/cells/8/4","1782390402900","24610","3","2","1","2","1","201;200;403"
"react-baseline-vs-ccrs-v1-t2","002-ccrs","31","http://127.0.1.1:8080/cells/8/5","1782390411006","8106","2","2","0","1","1","201;200"
"react-baseline-vs-ccrs-v1-t2","002-ccrs","32","http://127.0.1.1:8080/cells/8/6","1782390416679","5673","4","3","1","3","1","201;200;200;403"
"react-baseline-vs-ccrs-v1-t2","002-ccrs","33","http://127.0.1.1:8080/cells/9/6","1782390428590","11911","2","2","0","1","1","201;200"
"react-baseline-vs-ccrs-v1-t2","002-ccrs","34","http://127.0.1.1:8080/cells/10/6","1782390434785","6195","3","2","1","2","1","201;200;403"
"react-baseline-vs-ccrs-v1-t2","002-ccrs","35","http://127.0.1.1:8080/cells/11/6","1782390442650","7865","3","2","1","2","1","201;200;403"
"react-baseline-vs-ccrs-v1-t2","002-ccrs","36","http://127.0.1.1:8080/cells/11/5","1782390452528","9878","2","2","0","1","1","201;200"
"react-baseline-vs-ccrs-v1-t2","002-ccrs","37","http://127.0.1.1:8080/cells/12/5","1782390458958","6430","7","6","1","5","2","201;200;200;201;200;200;403"
"react-baseline-vs-ccrs-v1-t2","002-ccrs","38","http://127.0.1.1:8080/cells/12/4","1782390479125","20167","12","11","1","11","1","201;200;200;200;200;200;200;200;200;200;200;403"
"react-baseline-vs-ccrs-v1-t2","002-ccrs","39","http://127.0.1.1:8080/cells/12/3","1782390512714","33589","5","4","1","4","1","201;200;200;200;403"
"react-baseline-vs-ccrs-v1-t2","002-ccrs","40","http://127.0.1.1:8080/cells/11/3","1782390526768","14054","3","2","1","2","1","201;200;403"
"react-baseline-vs-ccrs-v1-t2","002-ccrs","41","http://127.0.1.1:8080/cells/10/3","1782390534545","7777","5","4","1","4","1","201;200;200;200;403"
"react-baseline-vs-ccrs-v1-t2","002-ccrs","42","http://127.0.1.1:8080/cells/10/2","1782390547821","13276","5","4","1","4","1","201;200;200;200;403"
"react-baseline-vs-ccrs-v1-t2","002-ccrs","43","http://127.0.1.1:8080/cells/9/2","1782390562723","14902","2","2","0","1","1","201;200"
"react-baseline-vs-ccrs-v1-t2","002-ccrs","44","http://127.0.1.1:8080/cells/9/1","1782390569337","6614","14","14","0","13","1","201;200;200;200;200;200;200;200;200;200;200;200;200;200"
"react-baseline-vs-ccrs-v1-t2","002-ccrs","45","http://127.0.1.1:8080/cells/9/2","1782390604025","34688","3","3","0","2","1","201;200;200"
"react-baseline-vs-ccrs-v1-t2","002-ccrs","46","http://127.0.1.1:8080/cells/8/2","1782390611752","7727","3","3","0","2","1","201;200;200"
"react-baseline-vs-ccrs-v1-t2","002-ccrs","47","http://127.0.1.1:8080/cells/7/2","1782390621488","9736","3","3","0","2","1","201;200;200"
"react-baseline-vs-ccrs-v1-t2","002-ccrs","48","http://127.0.1.1:8080/cells/7/3","1782390629024","7536","3","3","0","2","1","201;200;200"
"react-baseline-vs-ccrs-v1-t2","002-ccrs","49","http://127.0.1.1:8080/cells/7/4","1782390637491","8467","3","3","0","2","1","201;200;200"
"react-baseline-vs-ccrs-v1-t2","002-ccrs","50","http://127.0.1.1:8080/cells/8/4","1782390645086","7595","2","2","0","1","1","201;200"
"react-baseline-vs-ccrs-v1-t2","002-ccrs","51","http://127.0.1.1:8080/cells/8/5","1782390650920","5834","2","2","0","1","1","201;200"
"react-baseline-vs-ccrs-v1-t2","002-ccrs","52","http://127.0.1.1:8080/cells/8/6","1782390658026","7106","3","3","0","2","1","201;200;200"
"react-baseline-vs-ccrs-v1-t2","002-ccrs","53","http://127.0.1.1:8080/cells/9/6","1782390666257","8231","4","4","0","3","1","201;200;200;200"
"react-baseline-vs-ccrs-v1-t2","002-ccrs","54","http://127.0.1.1:8080/cells/10/6","1782390677405","11148","12","9","3","11","1","201;200;200;200;200;200;403;200;403;200;200;403"
"react-baseline-vs-ccrs-v1-t2","002-ccrs","55","http://127.0.1.1:8080/cells/11/6","1782390711161","33756","20","19","1","19","1","201;200;200;200;200;200;200;200;403;200;200;200;200;200;200;200;200;200;200;200"
"react-baseline-vs-ccrs-v1-t2","002-ccrs","56","http://127.0.1.1:8080/cells/11/5","1782390765312","54151","3","2","1","2","1","201;200;403"
"react-baseline-vs-ccrs-v1-t2","002-ccrs","57","http://127.0.1.1:8080/cells/12/5","1782390773004","7692","4","4","0","2","2","201;200;201;200"
"react-baseline-vs-ccrs-v1-t2","002-ccrs","58","http://127.0.1.1:8080/cells/12/4","1782390784878","11874","7","6","1","6","1","201;200;200;200;200;200;403"
"react-baseline-vs-ccrs-v1-t2","002-ccrs","59","http://127.0.1.1:8080/cells/12/3","1782390803837","18959","23","19","4","22","1","201;200;200;200;200;200;200;200;200;403;200;200;200;403;200;200;200;200;200;200;403;200;403"
"react-baseline-vs-ccrs-v1-t2","002-ccrs","60","http://127.0.1.1:8080/cells/11/3","1782390871306","67469","3","3","0","2","1","201;200;200"
"react-baseline-vs-ccrs-v1-t2","002-ccrs","61","http://127.0.1.1:8080/cells/10/3","1782390878964","7658","16","14","2","15","1","201;200;200;200;200;200;403;200;200;200;200;200;200;200;200;403"
"react-baseline-vs-ccrs-v1-t2","002-ccrs","62","http://127.0.1.1:8080/cells/10/2","1782390918971","40007","7","6","1","6","1","201;200;200;200;200;200;403"
"react-baseline-vs-ccrs-v1-t2","002-ccrs","63","http://127.0.1.1:8080/cells/9/2","1782390937787","18816","2","2","0","1","1","201;200"
"react-baseline-vs-ccrs-v1-t2","002-ccrs","64","http://127.0.1.1:8080/cells/8/2","1782390943731","5944","11","10","1","10","1","201;200;200;200;200;200;200;200;200;200;403"
"react-baseline-vs-ccrs-v1-t2","002-ccrs","65","http://127.0.1.1:8080/cells/7/2","1782391030855","87124","2","2","0","1","1","201;200"
"react-baseline-vs-ccrs-v1-t2","002-ccrs","66","http://127.0.1.1:8080/cells/7/3","1782391036090","5235","2","2","0","1","1","201;200"
"react-baseline-vs-ccrs-v1-t2","002-ccrs","67","http://127.0.1.1:8080/cells/7/4","1782391041312","5222","3","3","0","2","1","201;200;200"
"react-baseline-vs-ccrs-v1-t2","002-ccrs","68","http://127.0.1.1:8080/cells/8/4","1782391049876","8564","9","8","1","8","1","201;200;200;200;200;200;200;200;403"
"react-baseline-vs-ccrs-v1-t2","002-ccrs","69","http://127.0.1.1:8080/cells/8/5","1782391071391","21515","2","2","0","1","1","201;200"
"react-baseline-vs-ccrs-v1-t2","002-ccrs","70","http://127.0.1.1:8080/cells/8/6","1782391077098","5707","6","5","1","5","1","201;200;200;200;200;403"
"react-baseline-vs-ccrs-v1-t2","002-ccrs","71","http://127.0.1.1:8080/cells/9/6","1782391092330","15232","3","3","0","2","1","201;200;200"
"react-baseline-vs-ccrs-v1-t2","002-ccrs","72","http://127.0.1.1:8080/cells/10/6","1782391099871","7541","3","2","1","2","1","201;200;403"
"react-baseline-vs-ccrs-v1-t2","002-ccrs","73","http://127.0.1.1:8080/cells/11/6","1782391110583","10712","11","10","1","10","1","201;200;200;200;200;200;200;200;200;200;403"
"react-baseline-vs-ccrs-v1-t2","002-ccrs","74","http://127.0.1.1:8080/cells/11/5","1782391139598","29015","3","2","1","2","1","201;200;403"
"react-baseline-vs-ccrs-v1-t2","002-ccrs","75","http://127.0.1.1:8080/cells/12/5","1782391147119","7521","6","5","1","3","3","201;200;400;201;200;200"
