"batch_id","run_id","move_sequence","move_cell","move_timestamp","move_line","start_action_line","start_action_timestamp","end_before_action_line","action_count","get_count","post_count","http_error_count","status_codes","action_lines","action_targets","match_quality"
"react-baseline-vs-ccrs-v1-t2","001-baseline","13","http://127.0.1.1:8080/cells/8/5","1782408601519","4960","492","2026-06-25 19:30:01,415","510","3","2","1","0","201;200;200","492;498;504","http://127.0.1.1:8080/cells/8/5;http://127.0.1.1:8080/cells/8/5;http://127.0.1.1:8080/cells/8/5","target_timestamp_order"
"react-baseline-vs-ccrs-v1-t2","001-baseline","14","http://127.0.1.1:8080/cells/8/6","1782408608631","4962","510","2026-06-25 19:30:08,497","659","25","24","1","0","201;200;200;200;200;200;200;200;200;200;200;200;200;200;200;200;200;200;200;200;200;200;200;200;200","510;516;522;528;534;540;546;552;558;564;570;576;582;588;594;600;606;612;618;624;630;636;642;648;653","http://127.0.1.1:8080/cells/8/6;http://127.0.1.1:8080/cells/8/6;http://127.0.1.1:8080/cells/8/6;http://127.0.1.1:8080/cells/8/6;http://127.0.1.1:8080/cells/8/6;http://127.0.1.1:8080/cells/8/6;http://127.0.1.1:8080/cells/8/6;http://127.0.1.1:8080/cells/8/6;http://127.0.1.1:8080/cells/8/6;http://127.0.1.1:8080/cells/8/6;http://127.0.1.1:8080/cells/8/6;http://127.0.1.1:8080/cells/8/6;http://127.0.1.1:8080/cells/8/6;http://127.0.1.1:8080/cells/8/6;http://127.0.1.1:8080/cells/8/6;http://127.0.1.1:8080/cells/8/6;http://127.0.1.1:8080/cells/8/6;http://127.0.1.1:8080/cells/8/6;http://127.0.1.1:8080/cells/8/6;http://127.0.1.1:8080/cells/8/6;http://127.0.1.1:8080/cells/8/6;http://127.0.1.1:8080/cells/8/6;http://127.0.1.1:8080/cells/8/6;http://127.0.1.1:8080/maze;http://127.0.1.1:8080/cells/8/6","target_timestamp_order"
"react-baseline-vs-ccrs-v1-t2","001-baseline","15","http://127.0.1.1:8080/cells/9/6","1782408663497","4964","659","2026-06-25 19:31:03,386","","27","26","1","1","201;200;200;200;200;200;200;200;200;200;200;200;200;200;200;200;403;200;200;200;200;200;200;200;200;200;200","659;665;671;677;683;689;695;701;707;713;719;725;731;737;743;749;755;760;766;772;778;784;790;796;802;808;814","http://127.0.1.1:8080/cells/9/6;http://127.0.1.1:8080/cells/9/6;http://127.0.1.1:8080/cells/9/6;http://127.0.1.1:8080/cells/9/6;http://127.0.1.1:8080/cells/9/6;http://127.0.1.1:8080/cells/9/6;http://127.0.1.1:8080/cells/9/6;http://127.0.1.1:8080/cells/9/6;http://127.0.1.1:8080/cells/9/6;http://127.0.1.1:8080/cells/9/6;http://127.0.1.1:8080/cells/9/6;http://127.0.1.1:8080/cells/9/6;http://127.0.1.1:8080/cells/9/6;http://127.0.1.1:8080/cells/9/6;http://127.0.1.1:8080/cells/9/6;http://127.0.1.1:8080/cells/9/6;http://127.0.1.1:8080/cells/10/6;http://127.0.1.1:8080/cells/9/6;http://127.0.1.1:8080/cells/9/6;http://127.0.1.1:8080/cells/9/6;http://127.0.1.1:8080/cells/9/6;http://127.0.1.1:8080/cells/9/6;http://127.0.1.1:8080/cells/9/6;http://127.0.1.1:8080/cells/9/6;http://127.0.1.1:8080/cells/9/6;http://127.0.1.1:8080/cells/9/6;http://127.0.1.1:8080/cells/9/6","target_timestamp_order"
"react-baseline-vs-ccrs-v1-t2","002-ccrs","1","http://127.0.1.1:8080/cells/0","1782389957751","201","30","2026-06-25 14:19:17,663","108","2","1","1","0","201;200","30;42","http://127.0.1.1:8080/cells/0;http://127.0.1.1:8080/cells/0","target_timestamp_order"
"react-baseline-vs-ccrs-v1-t2","002-ccrs","2","http://127.0.1.1:8080/cells/0/2","1782389964089","203","108","2026-06-25 14:19:23,991","186","2","1","1","0","201;200","108;120","http://127.0.1.1:8080/cells/0/2;http://127.0.1.1:8080/cells/0/2","target_timestamp_order"
"react-baseline-vs-ccrs-v1-t2","002-ccrs","3","http://127.0.1.1:8080/cells/1/2","1782389969455","205","186","2026-06-25 14:19:29,360","264","2","1","1","0","201;200","186;198","http://127.0.1.1:8080/cells/1/2;http://127.0.1.1:8080/cells/1/2","target_timestamp_order"
"react-baseline-vs-ccrs-v1-t2","002-ccrs","4","http://127.0.1.1:8080/cells/2/2","1782389974645","207","264","2026-06-25 14:19:34,534","342","2","1","1","0","201;200","264;276","http://127.0.1.1:8080/cells/2/2;http://127.0.1.1:8080/cells/2/2","target_timestamp_order"
"react-baseline-vs-ccrs-v1-t2","002-ccrs","5","http://127.0.1.1:8080/cells/3/2","1782389979093","209","342","2026-06-25 14:19:38,990","420","2","1","1","0","201;200","342;354","http://127.0.1.1:8080/cells/3/2;http://127.0.1.1:8080/cells/3/2","target_timestamp_order"
"react-baseline-vs-ccrs-v1-t2","002-ccrs","6","http://127.0.1.1:8080/cells/4/2","1782389984187","211","420","2026-06-25 14:19:44,085","498","2","1","1","0","201;200","420;432","http://127.0.1.1:8080/cells/4/2;http://127.0.1.1:8080/cells/4/2","target_timestamp_order"
"react-baseline-vs-ccrs-v1-t2","002-ccrs","7","http://127.0.1.1:8080/cells/5/2","1782389991167","213","498","2026-06-25 14:19:51,066","576","2","1","1","0","201;200","498;510","http://127.0.1.1:8080/cells/5/2;http://127.0.1.1:8080/cells/5/2","target_timestamp_order"
