"batch_id","run_id","sequence","line","timestamp","agent","cell","path_analysis_cell"
"react-baseline-vs-ccrs-v1-t2","002-ccrs","17","233","1782390065361","http://127.0.1.1:8080/agents/react_ccrs_mazeV1_t2","http://127.0.1.1:8080/cells/11/6","/cells/11/6"
"react-baseline-vs-ccrs-v1-t2","002-ccrs","18","235","1782390085194","http://127.0.1.1:8080/agents/react_ccrs_mazeV1_t2","http://127.0.1.1:8080/cells/11/5","/cells/11/5"
"react-baseline-vs-ccrs-v1-t2","002-ccrs","19","237","1782390148796","http://127.0.1.1:8080/agents/react_ccrs_mazeV1_t2","http://127.0.1.1:8080/cells/12/5","/cells/12/5"
"react-baseline-vs-ccrs-v1-t2","002-ccrs","20","239","1782390154827","http://127.0.1.1:8080/agents/react_ccrs_mazeV1_t2","http://127.0.1.1:8080/cells/12/4","/cells/12/4"
"react-baseline-vs-ccrs-v1-t2","002-ccrs","21","241","1782390225282","http://127.0.1.1:8080/agents/react_ccrs_mazeV1_t2","http://127.0.1.1:8080/cells/12/3","/cells/12/3"
"react-baseline-vs-ccrs-v1-t2","002-ccrs","22","243","1782390232894","http://127.0.1.1:8080/agents/react_ccrs_mazeV1_t2","http://127.0.1.1:8080/cells/11/3","/cells/11/3"
"react-baseline-vs-ccrs-v1-t2","002-ccrs","23","245","1782390246469","http://127.0.1.1:8080/agents/react_ccrs_mazeV1_t2","http://127.0.1.1:8080/cells/10/3","/cells/10/3"
"react-baseline-vs-ccrs-v1-t2","002-ccrs","24","247","1782390279744","http://127.0.1.1:8080/agents/react_ccrs_mazeV1_t2","http://127.0.1.1:8080/cells/10/2","/cells/10/2"
"react-baseline-vs-ccrs-v1-t2","002-ccrs","25","249","1782390296084","http://127.0.1.1:8080/agents/react_ccrs_mazeV1_t2","http://127.0.1.1:8080/cells/9/2","/cells/9/2"
"react-baseline-vs-ccrs-v1-t2","002-ccrs","26","251","1782390301775","http://127.0.1.1:8080/agents/react_ccrs_mazeV1_t2","http://127.0.1.1:8080/cells/8/2","/cells/8/2"
"react-baseline-vs-ccrs-v1-t2","002-ccrs","27","253","1782390361765","http://127.0.1.1:8080/agents/react_ccrs_mazeV1_t2","http://127.0.1.1:8080/cells/7/2","/cells/7/2"
"react-baseline-vs-ccrs-v1-t2","002-ccrs","28","255","1782390372703","http://127.0.1.1:8080/agents/react_ccrs_mazeV1_t2","http://127.0.1.1:8080/cells/7/3","/cells/7/3"
"react-baseline-vs-ccrs-v1-t2","002-ccrs","29","257","1782390378290","http://127.0.1.1:8080/agents/react_ccrs_mazeV1_t2","http://127.0.1.1:8080/cells/7/4","/cells/7/4"
"react-baseline-vs-ccrs-v1-t2","002-ccrs","30","259","1782390402900","http://127.0.1.1:8080/agents/react_ccrs_mazeV1_t2","http://127.0.1.1:8080/cells/8/4","/cells/8/4"
"react-baseline-vs-ccrs-v1-t2","002-ccrs","31","261","1782390411006","http://127.0.1.1:8080/agents/react_ccrs_mazeV1_t2","http://127.0.1.1:8080/cells/8/5","/cells/8/5"
"react-baseline-vs-ccrs-v1-t2","002-ccrs","32","263","1782390416679","http://127.0.1.1:8080/agents/react_ccrs_mazeV1_t2","http://127.0.1.1:8080/cells/8/6","/cells/8/6"
"react-baseline-vs-ccrs-v1-t2","002-ccrs","33","265","1782390428590","http://127.0.1.1:8080/agents/react_ccrs_mazeV1_t2","http://127.0.1.1:8080/cells/9/6","/cells/9/6"
"react-baseline-vs-ccrs-v1-t2","002-ccrs","34","267","1782390434785","http://127.0.1.1:8080/agents/react_ccrs_mazeV1_t2","http://127.0.1.1:8080/cells/10/6","/cells/10/6"
