"batch_id","run_id","agent_name","run_mode","scenario_id","optimal_moves","exit_cell","enable_contingency_escalation_tool","imported_at","react_log_file","java_log_file","mase_capture_status","mase_event_count","mase_move_count","mase_transaction_count","react_event_count","prompt_visible_event_count","selection_event_count","opportunistic_detected_count","contingency_event_count","java_library_evidence_count","decision_metric_quality","notes"
"react-baseline-vs-ccrs-v1-t2","001-baseline","react_baseline_mazeV1_t2","manual","",,"","False","2026-06-25T19:36:02.2585812+02:00","react_baseline_mazeV1_t2_20260625_192604.log",,"completed","30","15","15","137","0","0","0","0","0","missing_selection_event",""
"react-baseline-vs-ccrs-v1-t2","002-ccrs","react_ccrs_mazeV1_t2","manual","",,"","False","2026-06-25T19:22:11.2243301+02:00","react_ccrs_mazeV1_t2_20260625_141909.log","react_ccrs_mazeV1_t2_20260625_141909.java.log","completed","416","202","214","17926","1466","2002","2638","4025","2572","selection_event",""
