"batch_id","run_id","move_sequence","move_cell","move_timestamp","duration_ms","action_count","http_success_count","http_failure_count","get_count","post_count","status_codes"
"react-baseline-vs-ccrs-v2","700-baseline","1","http://127.0.1.1:8080/cells/0","1782568601506",,"2","2","0","1","1","201;200"
"react-baseline-vs-ccrs-v2","700-baseline","2","http://127.0.1.1:8080/cells/0/2","1782568606320","4814","2","2","0","1","1","201;200"
"react-baseline-vs-ccrs-v2","700-baseline","3","http://127.0.1.1:8080/cells/1/2","1782568611270","4950","2","2","0","1","1","201;200"
"react-baseline-vs-ccrs-v2","700-baseline","4","http://127.0.1.1:8080/cells/2/2","1782568616280","5010","2","2","0","1","1","201;200"
"react-baseline-vs-ccrs-v2","700-baseline","5","http://127.0.1.1:8080/cells/2/3","1782568621679","5399","2","2","0","1","1","201;200"
"react-baseline-vs-ccrs-v2","700-baseline","6","http://127.0.1.1:8080/cells/2/4","1782568626417","4738","2","2","0","1","1","201;200"
"react-baseline-vs-ccrs-v2","700-baseline","7","http://127.0.1.1:8080/cells/1/4","1782568631014","4597","2","2","0","1","1","201;200"
"react-baseline-vs-ccrs-v2","700-baseline","8","http://127.0.1.1:8080/cells/1/5","1782568635900","4886","2","2","0","1","1","201;200"
"react-baseline-vs-ccrs-v2","700-baseline","9","http://127.0.1.1:8080/cells/1/6","1782568641122","5222","2","2","0","1","1","201;200"
"react-baseline-vs-ccrs-v2","700-baseline","10","http://127.0.1.1:8080/cells/1/7","1782568646750","5628","3","3","0","2","1","201;200;200"
"react-baseline-vs-ccrs-v2","700-baseline","11","http://127.0.1.1:8080/cells/1/6","1782568655918","9168","2","2","0","1","1","201;200"
"react-baseline-vs-ccrs-v2","700-baseline","12","http://127.0.1.1:8080/cells/2/6","1782568661117","5199","2","2","0","1","1","201;200"
"react-baseline-vs-ccrs-v2","700-baseline","13","http://127.0.1.1:8080/cells/3/6","1782568666554","5437","2","2","0","1","1","201;200"
