"batch_id","run_id","sequence","line","timestamp","agent","cell","path_analysis_cell"
"react-baseline-vs-ccrs-v2","700-baseline","35","4828","1782568901288","http://127.0.1.1:8080/agents/react_baseline_mazeV2","http://127.0.1.1:8080/cells/3/2","/cells/3/2"
"react-baseline-vs-ccrs-v2","700-baseline","36","4830","1782568914831","http://127.0.1.1:8080/agents/react_baseline_mazeV2","http://127.0.1.1:8080/cells/2/2","/cells/2/2"
"react-baseline-vs-ccrs-v2","700-baseline","37","4832","1782568920703","http://127.0.1.1:8080/agents/react_baseline_mazeV2","http://127.0.1.1:8080/cells/1/2","/cells/1/2"
"react-baseline-vs-ccrs-v2","700-baseline","38","4834","1782568928148","http://127.0.1.1:8080/agents/react_baseline_mazeV2","http://127.0.1.1:8080/cells/0/2","/cells/0/2"
"react-baseline-vs-ccrs-v2","700-baseline","39","4836","1782568933743","http://127.0.1.1:8080/agents/react_baseline_mazeV2","http://127.0.1.1:8080/cells/0","http://127.0.1.1:8080/cells/0"
"react-baseline-vs-ccrs-v2","700-baseline","40","4838","1782568990455","http://127.0.1.1:8080/agents/react_baseline_mazeV2","http://127.0.1.1:8080/cells/0/2","/cells/0/2"
"react-baseline-vs-ccrs-v2","700-baseline","41","4840","1782568997911","http://127.0.1.1:8080/agents/react_baseline_mazeV2","http://127.0.1.1:8080/cells/1/2","/cells/1/2"
"react-baseline-vs-ccrs-v2","700-baseline","42","4842","1782569004838","http://127.0.1.1:8080/agents/react_baseline_mazeV2","http://127.0.1.1:8080/cells/2/2","/cells/2/2"
"react-baseline-vs-ccrs-v2","700-baseline","43","4844","1782569009902","http://127.0.1.1:8080/agents/react_baseline_mazeV2","http://127.0.1.1:8080/cells/2/3","/cells/2/3"
"react-baseline-vs-ccrs-v2","700-baseline","44","4846","1782569014592","http://127.0.1.1:8080/agents/react_baseline_mazeV2","http://127.0.1.1:8080/cells/2/4","/cells/2/4"
"react-baseline-vs-ccrs-v2","700-baseline","45","4848","1782569021573","http://127.0.1.1:8080/agents/react_baseline_mazeV2","http://127.0.1.1:8080/cells/1/4","/cells/1/4"
"react-baseline-vs-ccrs-v2","700-baseline","46","4850","1782569028600","http://127.0.1.1:8080/agents/react_baseline_mazeV2","http://127.0.1.1:8080/cells/1/5","/cells/1/5"
"react-baseline-vs-ccrs-v2","700-baseline","47","4852","1782569033559","http://127.0.1.1:8080/agents/react_baseline_mazeV2","http://127.0.1.1:8080/cells/1/6","/cells/1/6"
"react-baseline-vs-ccrs-v2","700-baseline","48","4854","1782569038442","http://127.0.1.1:8080/agents/react_baseline_mazeV2","http://127.0.1.1:8080/cells/1/7","/cells/1/7"
"react-baseline-vs-ccrs-v2","700-baseline","49","4856","1782569046497","http://127.0.1.1:8080/agents/react_baseline_mazeV2","http://127.0.1.1:8080/cells/1/6","/cells/1/6"
"react-baseline-vs-ccrs-v2","700-baseline","50","4858","1782569053299","http://127.0.1.1:8080/agents/react_baseline_mazeV2","http://127.0.1.1:8080/cells/2/6","/cells/2/6"
"react-baseline-vs-ccrs-v2","700-baseline","51","4860","1782569060852","http://127.0.1.1:8080/agents/react_baseline_mazeV2","http://127.0.1.1:8080/cells/3/6","/cells/3/6"
"react-baseline-vs-ccrs-v2","700-baseline","52","4862","1782569066646","http://127.0.1.1:8080/agents/react_baseline_mazeV2","http://127.0.1.1:8080/cells/3/7","/cells/3/7"
"react-baseline-vs-ccrs-v2","700-baseline","53","4864","1782569073489","http://127.0.1.1:8080/agents/react_baseline_mazeV2","http://127.0.1.1:8080/cells/3/8","/cells/3/8"
