"batch_id","run_id","agent_name","run_mode","scenario_id","optimal_moves","exit_cell","enable_contingency_escalation_tool","imported_at","react_log_file","java_log_file","mase_capture_status","mase_event_count","mase_move_count","mase_transaction_count","react_event_count","prompt_visible_event_count","selection_event_count","opportunistic_detected_count","contingency_event_count","java_library_evidence_count","decision_metric_quality","notes"
"react-baseline-vs-ccrs-v2","700-baseline","react_baseline_mazeV2","manual","",,"","False","2026-06-27T16:41:22.0720184+02:00","react_baseline_mazeV2_20260627_155634.log",,"completed","471","230","241","1001","0","0","0","0","0","missing_selection_event",""
"react-baseline-vs-ccrs-v2","800-ccrs","react_ccrs_mazeV2","manual","",,"","False","2026-06-26T20:58:03.6124961+02:00","react_ccrs_mazeV2_20260626_201650.log","react_ccrs_mazeV2_20260626_201650.java.log","completed","397","193","204","4748","241","610","421","1249","990","selection_event",""
