"batch_id","run_id","opportunistic_count","selection_count","selected_rank_1_count","selected_rank_2_count","selected_rank_3_count","selected_rank_4_count","selected_none_count","rank_unavailable_count"
"react-baseline-vs-ccrs-v2","800-ccrs","0","376","0","0","0","0","0","0"
"react-baseline-vs-ccrs-v2","800-ccrs","1","73","54","0","0","0","19","0"
"react-baseline-vs-ccrs-v2","800-ccrs","2","138","66","12","0","0","60","0"
"react-baseline-vs-ccrs-v2","800-ccrs","3","20","11","4","2","0","3","0"
"react-baseline-vs-ccrs-v2","800-ccrs","4","3","1","1","0","1","0","0"
